year month day hour minute second windspeed_ms
2015 4 30 10 15 5 3.633333
2015 4 30 11 15 5 3.143333
2015 4 30 12 15 5 2.390000
2015 4 30 13 15 5 1.785000
2015 4 30 14 15 5 2.153333
2015 4 30 15 15 5 2.153333
2015 4 30 16 15 5 3.276000
2015 4 30 17 15 5 5.348333
2015 4 30 18 15 5 5.448000
2015 4 30 19 15 5 6.800000
2015 4 30 20 15 5 8.785000
2015 4 30 21 15 5 9.675000
2015 4 30 22 15 5 9.158000
2015 4 30 23 15 5 9.961667
2015 5 1 0 15 5 10.690000
2015 5 1 1 15 5 12.301667
2015 5 1 2 15 5 13.715000
2015 5 1 3 15 5 13.533333
2015 5 1 4 15 5 12.118333
2015 5 1 5 15 5 13.238333
2015 5 1 6 15 5 13.041667
2015 5 1 7 15 5 13.230000
2015 5 1 8 15 5 14.893333
2015 5 1 9 15 5 18.712000
2015 5 1 10 15 5 20.576667
2015 5 1 11 15 5 20.833333
2015 5 1 12 15 5 19.108333
2015 5 1 13 15 5 20.453333
2015 5 1 14 15 5 17.728333
2015 5 1 15 15 5 19.156667
2015 5 1 16 15 5 16.475000
2015 5 1 17 15 5 15.160000
2015 5 1 18 15 5 15.511667
2015 5 1 19 15 5 16.008333
2015 5 1 20 15 5 16.011667
2015 5 1 21 15 5 16.983333
2015 5 1 22 15 5 16.915000
2015 5 1 23 15 5 16.101667
2015 5 2 0 15 5 15.015000
2015 5 2 1 15 5 13.430000
2015 5 2 2 15 5 13.430000
2015 5 2 3 15 5 13.778333
2015 5 2 4 15 5 13.911667
2015 5 2 5 15 5 13.186667
2015 5 2 6 15 5 12.865000
2015 5 2 7 15 5 11.988333
2015 5 2 8 15 5 11.326667
2015 5 2 9 15 5 10.845000
2015 5 2 10 15 5 10.395000
2015 5 2 11 15 5 10.068333
2015 5 2 12 15 5 9.928333
2015 5 2 13 15 5 9.363333
2015 5 2 14 15 5 8.416667
2015 5 2 15 15 5 8.175000
2015 5 2 16 15 5 7.646667
2015 5 2 17 15 5 7.648333
2015 5 2 18 15 5 6.725000
2015 5 2 19 15 5 6.345000
2015 5 2 20 15 5 5.750000
2015 5 2 21 15 5 4.826667
2015 5 2 22 15 5 2.823333
2015 5 2 23 15 5 1.560000
2015 5 3 0 15 5 1.901667
2015 5 3 1 15 5 1.613333
2015 5 3 2 15 5 2.343333
2015 5 3 3 15 5 2.625000
2015 5 3 4 15 5 3.395000
2015 5 3 5 15 5 6.056667
2015 5 3 6 15 5 6.298333
2015 5 3 7 15 5 7.570000
2015 5 3 8 15 5 9.068333
2015 5 3 9 15 5 9.228333
2015 5 3 10 15 5 8.208333
2015 5 3 11 15 5 8.678333
2015 5 3 12 15 5 8.493333
2015 5 3 13 15 5 8.740000
2015 5 3 14 15 5 8.091667
2015 5 3 15 15 5 6.738333
2015 5 3 16 15 5 5.573333
2015 5 3 17 15 5 4.446667
2015 5 3 18 15 5 3.305000
2015 5 3 19 15 5 2.655000
2015 5 3 20 15 5 2.970000
2015 5 3 21 15 5 5.845000
2015 5 3 22 15 5 7.703333
2015 5 3 23 15 5 6.788333
2015 5 4 0 15 5 7.653333
2015 5 4 1 15 5 9.373333
2015 5 4 2 15 5 12.376667
2015 5 4 3 15 5 13.538333
2015 5 4 4 15 5 12.700000
2015 5 4 5 15 5 12.671667
2015 5 4 6 15 5 12.423333
2015 5 4 7 15 5 11.528333
2015 5 4 8 15 5 10.863333
